DATE,TSLA.O,PLTR.O,SPCE.K
01/11/2023,75.19,12.28,24.53
02/11/2023,81.97,14.73,27.87
03/11/2023,82.94,15.26,29.90
06/11/2023,84.30,15.02,27.39
07/11/2023,84.30,15.29,28.29
08/11/2023,84.92,15.05,25.40
09/11/2023,83.65,14.95,30.44
10/11/2023,85.36,16.09,29.29
13/11/2023,84.30,16.05,30.79
14/11/2023,84.50,15.96,34.09
15/11/2023,85.38,16.07,35.27
16/11/2023,86.42,15.94,33.53
17/11/2023,84.72,16.44,35.15
20/11/2023,83.41,17.07,35.99
21/11/2023,82.71,15.79,33.98
22/11/2023,82.80,15.76,31.86
24/11/2023,81.55,15.23,33.33
27/11/2023,81.08,15.11,32.79
28/11/2023,79.71,15.53,33.40
29/11/2023,78.66,15.63,34.66
30/11/2023,78.67,15.89,35.34
01/12/2023,78.11,15.96,36.85
04/12/2023,77.26,14.57,30.56
05/12/2023,75.87,14.53,30.33
06/12/2023,77.25,13.64,32.17
07/12/2023,76.60,13.68,35.42
08/12/2023,77.00,14.16,37.14
11/12/2023,78.16,14.16,36.96
12/12/2023,78.14,13.93,35.51
13/12/2023,77.75,14.16,38.83
14/12/2023,76.64,14.26,40.11
15/12/2023,76.33,14.36,39.61
18/12/2023,76.38,14.11,39.08
19/12/2023,76.76,14.10,41.48
20/12/2023,74.95,13.65,37.35
21/12/2023,75.13,13.86,38.93
22/12/2023,75.02,13.71,40.94
26/12/2023,75.18,13.89,41.65
27/12/2023,74.48,13.65,42.21
28/12/2023,75.36,13.79,39.91
29/12/2023,75.43,13.49,38.49
02/01/2024,74.26,13.14,37.58
03/01/2024,73.63,12.71,36.49
04/01/2024,73.78,12.82,36.91
05/01/2024,73.13,12.57,36.65
08/01/2024,73.89,13.08,36.87
09/01/2024,73.27,12.90,35.89
10/01/2024,73.40,13.18,36.11
11/01/2024,72.84,13.07,34.01
12/01/2024,72.14,13.14,33.10
16/01/2024,73.36,13.08,30.86
17/01/2024,72.42,12.93,30.93
18/01/2024,73.47,12.91,30.54
19/01/2024,73.91,13.21,30.24
22/01/2024,73.25,13.85,32.27
23/01/2024,72.49,13.66,32.95
24/01/2024,72.34,13.17,31.60
25/01/2024,72.88,12.95,30.69
26/01/2024,73.06,12.87,29.76
29/01/2024,73.82,13.45,30.22
30/01/2024,74.10,13.18,28.20
31/01/2024,73.34,12.68,28.06
01/02/2024,73.28,12.82,28.10
02/02/2024,73.63,13.48,27.55
05/02/2024,73.82,13.34,26.49
06/02/2024,75.95,17.36,28.74
07/02/2024,75.49,18.69,28.04
08/02/2024,76.56,19.43,27.90
09/02/2024,77.11,19.32,28.37
12/02/2024,75.61,19.84,29.62
13/02/2024,74.56,19.07,27.33
14/02/2024,74.87,20.05,31.04
15/02/2024,73.98,20.17,30.48
16/02/2024,74.00,19.40,29.37
20/02/2024,74.07,18.54,28.69
21/02/2024,75.21,18.00,27.86
22/02/2024,75.66,18.63,26.38
23/02/2024,75.42,18.12,26.03
26/02/2024,74.34,18.58,28.07
27/02/2024,74.22,19.34,29.96
28/02/2024,73.45,19.29,27.64
29/02/2024,75.18,19.87,27.57
01/03/2024,73.64,19.71,26.72
04/03/2024,72.86,18.94,25.37
