DATE,JNJ,KO,PEP.O
01/11/2023,122.38,46.45,135.7
02/11/2023,123.14,46.79,136.73
03/11/2023,122.29,45.85,134.77
06/11/2023,122.92,46.16,135.08
07/11/2023,122.69,46.49,135.93
08/11/2023,122.41,46.48,136.29
09/11/2023,120.63,46.36,135.96
10/11/2023,120.48,46.41,136.57
13/11/2023,120.24,46.37,136.64
14/11/2023,118.16,45.69,134.52
15/11/2023,119.83,46.07,134.68
16/11/2023,120.99,46.07,135.18
17/11/2023,120.21,45.95,133.82
20/11/2023,119.89,45.91,133.17
21/11/2023,120.54,46.29,133.84
22/11/2023,120.73,46.77,135.46
24/11/2023,121,46.47,134.39
27/11/2023,119.83,46.3,133.32
28/11/2023,119.46,46.15,133.03
29/11/2023,119.83,45.87,131.68
30/11/2023,122.53,46.3,133.33
01/12/2023,124.71,46.17,132.83
04/12/2023,125.78,46.37,133.9
05/12/2023,125.9,46.58,133.36
06/12/2023,124.71,46.66,133.38
07/12/2023,123.43,46.66,133.01
08/12/2023,123.08,46.72,132.06
11/12/2023,123.52,47.03,133.69
12/12/2023,123.45,47.3,134.12
13/12/2023,123.47,47.5,136.32
14/12/2023,122.88,46.25,131.8
15/12/2023,122.41,46.23,131.75
18/12/2023,122.95,46.69,133.61
19/12/2023,122.91,46.21,131.93
20/12/2023,121.29,45.59,131.12
21/12/2023,122.04,45.7,131.6
22/12/2023,122.41,45.92,132.03
26/12/2023,122.69,46.02,132.69
27/12/2023,122.21,45.89,132.41
28/12/2023,123,46.15,133.06
29/12/2023,123.14,46.3,133.43
02/01/2024,126.82,47.42,137.08
03/01/2024,127.13,47.35,136.59
04/01/2024,126.69,47.13,135.24
05/01/2024,126.71,46.93,132.86
08/01/2024,126.72,47.16,132.67
09/01/2024,127.22,47.23,131.58
10/01/2024,127.07,47.26,131.03
11/01/2024,126.29,46.87,130.2
12/01/2024,127.35,47.36,131.18
16/01/2024,127.03,47.48,131.51
17/01/2024,126.6,47.34,131.34
18/01/2024,126.89,47.35,131.58
19/01/2024,127.31,47.11,130.54
22/01/2024,127.87,46.88,129.95
23/01/2024,125.96,47.17,132.14
24/01/2024,124.94,46.3,130.16
25/01/2024,125.56,46.55,131.07
26/01/2024,125.57,46.74,132.15
29/01/2024,125.41,47.01,132.33
30/01/2024,125.05,47.18,133.59
31/01/2024,125.27,46.9,132.86
01/02/2024,124.28,47.86,134.75
02/02/2024,124,47.93,135.37
05/02/2024,124.32,47.91,136.39
06/02/2024,125.47,47.58,136.08
07/02/2024,125.13,47.52,135.82
08/02/2024,123.97,47.42,137.8
09/02/2024,124.23,47.2,132.87
12/02/2024,125.02,47.28,135.13
13/02/2024,124.29,47.14,134.15
14/02/2024,123.95,47.19,133.32
15/02/2024,125.33,47.14,133.22
16/02/2024,124.27,47.14,132.02
20/02/2024,125.11,48.11,133.66
21/02/2024,125.6,48.47,133.63
22/02/2024,126.75,48.31,132.91
23/02/2024,127.64,48.27,133.77
26/02/2024,126.79,47.87,132.68
27/02/2024,126.93,47.58,132.59
28/02/2024,127.6,47.71,131.93
29/02/2024,127.85,47.55,130.98
01/03/2024,128.16,47.06,130.11
04/03/2024,125.96,47.13,130.31
05/03/2024,125.93,46.86,127.56
06/03/2024,125.18,46.78,128.05
07/03/2024,124.06,46.42,127.37
08/03/2024,124.07,46.29,126.82
11/03/2024,125.84,47.02,128.58
12/03/2024,127.23,47.3,128.64
13/03/2024,125.9,47.76,129.18
14/03/2024,124.86,47.45,129.23
