DATE,SBUX.O,CSCO.O,MSFT.O
01/11/2023,75.58,52.04,279.66
02/11/2023,82.77,52.32,284.6
03/11/2023,81.3,53.26,282.51
06/11/2023,83.36,52.97,286.4
07/11/2023,84.75,53.34,292.22
08/11/2023,84.47,53.39,294.48
09/11/2023,85.34,52.12,296.46
10/11/2023,83.95,52.25,295.77
13/11/2023,84.64,52.48,299.9
14/11/2023,83.6,52.47,296.88
15/11/2023,85.09,53.27,298.98
16/11/2023,85.67,47.41,299.02
17/11/2023,86.01,48.05,299.82
20/11/2023,84.14,47.56,296.88
21/11/2023,83.31,48.27,299.65
22/11/2023,83.38,48.08,302.59
24/11/2023,82.08,48.09,299.4
27/11/2023,81.02,48.33,298.44
28/11/2023,80.33,47.95,298.08
29/11/2023,79.97,48.11,302.31
30/11/2023,79.27,48.19,299.87
01/12/2023,77.56,48.28,296.66
04/12/2023,77.89,48.06,292.19
05/12/2023,77.33,47.75,290.99
06/12/2023,76.4,48.07,297.43
07/12/2023,77.24,47.91,292.48
08/12/2023,76.58,48.28,294.28
11/12/2023,77.45,48.94,293.54
12/12/2023,78.37,49.58,295.24
13/12/2023,78.06,49.24,298
14/12/2023,77.33,50,292.42
15/12/2023,77.19,49.49,289.43
18/12/2023,76.92,49.92,292.24
19/12/2023,76.15,50.37,291.82
20/12/2023,76.25,50.12,296.75
21/12/2023,74.94,49.93,293.63
22/12/2023,74.72,49.84,294.24
26/12/2023,74.92,50.11,294.67
27/12/2023,74.79,50.3,292.08
28/12/2023,75.02,50.58,294.87
29/12/2023,75.32,50.45,295.39
02/01/2024,75.67,50.49,296.38
03/01/2024,74.21,50.17,291.43
04/01/2024,73.43,50.44,292.35
05/01/2024,73.4,50.18,290.16
08/01/2024,72.97,49.75,289.72
09/01/2024,73.68,49.96,292.81
10/01/2024,73.01,50,295.45
11/01/2024,73.14,50.45,302.51
12/01/2024,73.12,50.5,302.32
16/01/2024,73.33,50.25,311.54
17/01/2024,72.33,50.24,306.17
18/01/2024,72.38,50.3,308.32
19/01/2024,73.37,50.75,311.62
22/01/2024,73.82,51.55,314.83
23/01/2024,73.33,51.39,311.93
24/01/2024,72.74,52,315.6
25/01/2024,72.57,51.75,318.16
26/01/2024,73.15,52.42,318.35
29/01/2024,73.2,51.84,319.56
30/01/2024,73.25,52.3,324.69
31/01/2024,77.48,51.85,320.82
01/02/2024,73.07,50.23,315.36
02/02/2024,73.39,50.14,319.72
05/02/2024,74.03,49.94,327.08
06/02/2024,73.43,50.31,322.2
07/02/2024,76.23,50.3,322.73
08/02/2024,75.38,49.9,328.19
09/02/2024,76.33,49.93,329.07
12/02/2024,76.76,50.03,333.09
13/02/2024,75.34,49.62,321.66
14/02/2024,74.87,49.57,324.77
15/02/2024,74.63,48.26,323.92
16/02/2024,73.9,48.75,323.83
20/02/2024,73.99,47.97,319.58
21/02/2024,74.29,48.45,316.74
22/02/2024,74.96,48.27,324.03
23/02/2024,75.62,48.62,327.84
26/02/2024,75.19,48.85,324.44
27/02/2024,74.37,48.15,321.68
28/02/2024,74.06,48.2,322.39
29/02/2024,74.86,48.19,323.72
01/03/2024,74.66,48.11,325.11
04/03/2024,73.33,48.37,325.8
05/03/2024,72.5,49.04,325.88
06/03/2024,71.77,48.98,316.58
07/03/2024,71.54,49.44,317.13
08/03/2024,70.48,48.87,317.31
11/03/2024,71.23,49.72,315.14
12/03/2024,71.93,50.54,318.68
13/03/2024,72.28,50.03,326.74
14/03/2024,71.45,50.27,329.57
15/03/2024,71.91,49.79,329.14
18/03/2024,71.3,49.22,325.49
19/03/2024,71.54,49.12,328.48
20/03/2024,71.8,49.04,330.1
21/03/2024,73.19,49.71,339.63
22/03/2024,72.8,50.05,341.01
25/03/2024,71.75,49.56,336.58
26/03/2024,72.06,49.55,337.12
27/03/2024,71.73,49.77,335.84
28/03/2024,72.72,49.89,333.51
01/04/2024,73.16,49.96,337.81
02/04/2024,72.44,49.96,334.03
03/04/2024,70.82,48.8,331.78
04/04/2024,70.51,49.09,336.23
05/04/2024,69.56,47.96,332.39
08/04/2024,68.74,48.19,336.05
09/04/2024,68.78,48.84,336.41
10/04/2024,68.89,49.73,336.92
11/04/2024,68.53,49.32,339.3
12/04/2024,68.61,49.21,340.6
15/04/2024,68.63,49.72,342.82
16/04/2024,68.27,48.47,333.68
17/04/2024,69.1,48,335.25
18/04/2024,69.51,48.41,330.22
19/04/2024,70.45,48.39,326.59
22/04/2024,71.33,48.49,323.98
23/04/2024,71.31,48.14,324.74
24/04/2024,69.87,48.05,328.67
25/04/2024,71.57,48.78,314.9
26/04/2024,69.98,47.64,330.02
29/04/2024,70.25,47.99,322.62
30/04/2024,70.14,47.61,321.45
01/05/2024,60.53,46.7,313.46
02/05/2024,59.77,47.03,317.34
03/05/2024,60,47.1,320.69
06/05/2024,58.36,47.22,325.42
07/05/2024,58.26,47.21,331.62
08/05/2024,57.85,47.44,326.64
09/05/2024,58.75,48,327.88
10/05/2024,60.15,48,329.79
13/05/2024,60.69,48.31,332.87
14/05/2024,60.56,48.98,327.31
15/05/2024,59.83,49.19,329.44
16/05/2024,59.36,50.08,333.02
17/05/2024,59.27,48.26,332.73
20/05/2024,61.15,48,330.77
21/05/2024,61.03,47.12,335.9
22/05/2024,61.11,47.1,338.25
23/05/2024,63.09,47.15,341
24/05/2024,61.62,46.63,335.31
28/05/2024,61.75,46.15,336.7
29/05/2024,60.68,45.9,335.01
30/05/2024,60.57,46.1,333.31
31/05/2024,62.08,46.14,327.14
03/06/2024,62.23,46.72,324.53
04/06/2024,64.22,46.65,323.14
05/06/2024,64.5,47.52,326.8
06/06/2024,63.46,45.94,331.57
07/06/2024,64.16,45.95,335.04
10/06/2024,64.01,45.8,333.62
11/06/2024,63.52,45.69,333.97
12/06/2024,62.51,45.99,340.2
13/06/2024,62.31,45.42,345.52
14/06/2024,63.08,45.32,345.59
17/06/2024,62.65,45.4,348.41
18/06/2024,63.75,45.5,353.9
20/06/2024,63.07,45.91,352.67
21/06/2024,63.27,47.1,353.8
24/06/2024,63.1,47.49,354.76
25/06/2024,63.08,47.27,353.43
26/06/2024,62.6,47.06,355.78
27/06/2024,62.55,46.78,357.79
28/06/2024,62.27,47.55,358.38
01/07/2024,61.67,47.48,354.76
02/07/2024,60.8,47.4,357.3
03/07/2024,60.31,47.15,359.65
05/07/2024,59.53,46.43,358.85
08/07/2024,59.62,46.35,364.38
09/07/2024,58.38,46,365.33
10/07/2024,56.82,46.06,359.06
11/07/2024,56.04,46.18,358.65
12/07/2024,56.8,46.78,349.69
15/07/2024,57.76,47.41,349.61
16/07/2024,55.7,47.45,350.34
17/07/2024,57.83,47.46,340.25
18/07/2024,57.54,48.15,343.36
19/07/2024,57.79,48.09,335.24
22/07/2024,60.57,47.32,341.63
23/07/2024,59.78,46.75,343.97
24/07/2024,59.17,46.54,341.27
25/07/2024,58.41,47.37,333.67
